CMDLINE python bad_optimizing.py
MEM 11139.023438 1686578314.8375
MEM 11139.023438 1686578314.9420
MEM 11139.023438 1686578315.0451
MEM 11139.023438 1686578315.1492
MEM 11139.023438 1686578315.2533
MEM 11139.023438 1686578315.3574
MEM 11139.023438 1686578315.4615
MEM 11139.023438 1686578315.5652
MEM 11139.023438 1686578315.6693
MEM 11139.023438 1686578315.7734
MEM 11139.023438 1686578315.8772
MEM 11139.023438 1686578315.9821
MEM 11139.023438 1686578316.0861
MEM 11139.023438 1686578316.1908
MEM 11139.023438 1686578316.2949
MEM 11139.023438 1686578316.3990
MEM 11139.023438 1686578316.5031
MEM 11139.023438 1686578316.6066
MEM 11139.023438 1686578316.7107
MEM 11139.023438 1686578316.8148
MEM 11139.023438 1686578316.9189
MEM 11139.023438 1686578317.0230
MEM 11139.023438 1686578317.1271
MEM 11139.023438 1686578317.2312
MEM 11139.023438 1686578317.3352
MEM 11139.023438 1686578317.4388
MEM 11139.023438 1686578317.5429
MEM 11139.023438 1686578317.6470
MEM 11139.023438 1686578317.7511
MEM 11139.023438 1686578317.8552
MEM 11139.023438 1686578317.9589
MEM 11139.023438 1686578318.0630
MEM 11139.023438 1686578318.1672
MEM 11139.023438 1686578318.2712
MEM 11139.023438 1686578318.3753
MEM 11139.023438 1686578318.4794
MEM 11139.023438 1686578318.5836
MEM 11139.023438 1686578318.6875
MEM 11139.023438 1686578318.7916
MEM 11139.023438 1686578318.8957
MEM 11139.023438 1686578318.9998
MEM 11139.023438 1686578319.1039
MEM 11139.023438 1686578319.2080
MEM 11139.023438 1686578319.3119
MEM 11139.023438 1686578319.4160
MEM 11139.023438 1686578319.5201
MEM 11139.023438 1686578319.6242
MEM 11139.023438 1686578319.7284
MEM 11139.023438 1686578319.8325
MEM 11139.023438 1686578319.9366
MEM 11139.023438 1686578320.0410
MEM 11139.023438 1686578320.1451
MEM 11139.023438 1686578320.2487
MEM 11139.023438 1686578320.3524
MEM 11139.023438 1686578320.4564
MEM 11139.023438 1686578320.5604
MEM 11139.023438 1686578320.6645
MEM 11139.023438 1686578320.7686
MEM 11139.023438 1686578320.8727
MEM 11139.023438 1686578320.9768
MEM 11139.023438 1686578321.0809
MEM 11139.023438 1686578321.1850
MEM 11139.023438 1686578321.2896
MEM 11139.023438 1686578321.3934
MEM 11139.023438 1686578321.4975
MEM 11139.023438 1686578321.6018
MEM 11139.023438 1686578321.7059
MEM 11139.027344 1686578321.8100
MEM 11139.027344 1686578321.9144
MEM 11139.027344 1686578322.0183
MEM 11139.031250 1686578322.1224
MEM 11139.031250 1686578322.2265
MEM 11139.031250 1686578322.3316
MEM 11139.031250 1686578322.4352
MEM 10569.035156 1686578322.5393
MEM 9936.410156 1686578322.6434
MEM 9284.035156 1686578322.7489
MEM 8835.035156 1686578322.8530
MEM 8212.035156 1686578322.9571
MEM 7562.035156 1686578323.0612
MEM 6926.722656 1686578323.1653
MEM 6290.035156 1686578323.2692
MEM 5748.035156 1686578323.3745
MEM 5309.035156 1686578323.4781
MEM 4752.035156 1686578323.5822
MEM 4127.035156 1686578323.6863
MEM 3519.035156 1686578323.7904
MEM 2903.035156 1686578323.8945
MEM 2281.035156 1686578323.9986
MEM 1659.035156 1686578324.1027
MEM 1035.035156 1686578324.2078
MEM 415.035156 1686578324.3117
